name,wild
Distichopora anceps,1
Distichopora borealis,1
Distichopora gracilis,1
Distichopora laevigranulosa,1
Distichopora serpens,1
Distichopora spp.,1
Errina,1
Errina antarctica,1
Errina cheilopora,1
Errina cochleata,1
Errina gracilis,1
Errina kerguelensis,1
Errina reticulata,1
Errina spp.,1
Errinopora,1
Errinopora nanneca,1
Errinopsis,1
Errinopsis fenestrata,1
Errinopsis reticulum,1
Lepidopora,1
Lepidopora glabra,1
Lepidotheca,1
Lepidotheca macropora,1
Sporadopora,1
Sporadopora dichotoma,1
Stenohelia,1
Stenohelia concinna,1
Stenohelia pauciseptata,1
Stylantheca,1
Stylantheca petrograpta,1
Stylaster,0.97
Stylaster californicus,1
Stylaster corallium,1
Stylaster densicaulis,1
Stylaster duchassaingii,1
Stylaster erubescens,1
Stylaster eximius,1
Stylaster galapagensis,1
Stylaster laevigatus,1
Stylaster marenzelleri,1
Stylaster miniatus,1
Stylaster roseus,1
Stylaster sanguineus,1
Stylaster spp.,0.94
Stylaster venustus,1
Insecta,0.08
Lepidoptera,0.08
Nymphalidae,1
Agrias,1
Agrias amydon,1
Morpho,1
Morpho godartii lachaumei,1
Papilionidae,0.07
Atrophaneura,1
Atrophaneura jophon,1
Ornithoptera,0.04
Ornithoptera aesacus,0
Ornithoptera akakeae,0
Ornithoptera chimaera,0
Ornithoptera croesus,0.07
Ornithoptera goliath,0.07
Ornithoptera meridionalis,0
Ornithoptera paradisea,0
Ornithoptera priamus,0.08
Ornithoptera rothschildi,0
Ornithoptera tithonus,0
Ornithoptera victoriae,0.5
Parnassius,1
Parnassius apollo,1
Trogonoptera,0.24
Trogonoptera brookiana,0.27
Trogonoptera trojana,0
Troides,0.06
Troides amphrysus,0
Troides andromache,1
Troides criton,0
Troides cuneifera,0
Troides dohertyi,0
Troides haliphron,0
Troides helena,0
Troides hypolitus,0
Troides magellanus,0
Troides miranda,0.4
Troides oblongomaculatus,0
Troides prattorum,0
Troides rhadamantus,0.13
Troides vandepolli,0
Mammalia,0.9
Artiodactyla,0.89
Bovidae,0.82
Antilope,0.71
Antilope cervicapra,0.71
Boselaphus,0.25
Boselaphus tragocamelus,0.25
Capra,0.98
Capra hircus aegagrus,0.95
Capra sibirica,1
Capra spp.,1
Gazella,0.25
Gazella bennettii,0.5
Gazella dorcas,0
Pseudois,1
Pseudois nayaur,1
Cervidae,0.75
Axis,0.71
Axis porcinus,0.71
Mazama,1
Mazama temama cerasina,1
Moschidae,0.96
Moschus,0.96
Moschus moschiferus,0.94
Moschus spp.,1
Tayassuidae,0.97
Pecari,0.96
Pecari tajacu,0.96
Tayassu,1
Tayassu pecari,1
Carnivora,0.9
Canidae,1
Canis,1
Canis aureus,1
Vulpes,1
Vulpes vulpes,1
Hyaenidae,0.83
Hyaena,0.33
Hyaena hyaena,0.33
Proteles,0.93
Proteles cristata,0.93
Mustelidae,0.8
Aonyx,0
Aonyx cinerea,0
Eira,0.4
Eira barbara,0.4
Enhydra,1
Enhydra lutris,1
Galictis,1
Galictis vittata,1
Hydrictis,0
Hydrictis maculicollis,0
Lontra,0.97
Lontra canadensis,0.97
Lutra,1
Lutra spp.,1
Lutrogale,0.33
Lutrogale perspicillata,0.33
Martes,1
Martes flavigula,1
Mellivora,1
Mellivora capensis,1
Mustela,1
Mustela altaica,1
Mustela sibirica,1
Odobenidae,1
Odobenus,1
Odobenus rosmarus,1
Otariidae,0.94
Arctocephalus,0.94
Arctocephalus australis,1
Arctocephalus forsteri,1
Arctocephalus gazella,1
Arctocephalus pusillus,0.89
Arctocephalus tropicalis,1
Phocidae,1
Mirounga,1
Mirounga leonina,1
Procyonidae,0.93
Nasua,1
Nasua narica,1
Nasua nasua solitaria,1
Potos,0.88
Potos flavus,0.88
Ursidae,0.93
Ursus,0.93
Ursus americanus,0.99
Ursus arctos,0.84
Ursus maritimus,0.97
Viverridae,0.91
Arctictis,0
Arctictis binturong,0
Civettictis,0.98
Civettictis civetta,0.98
Hemigalus,0
Hemigalus derbyanus,0
Paradoxurus,1
Paradoxurus hermaphroditus,1
Cetacea,0.99
Monodontidae,0.98
Delphinapterus,0.97
Delphinapterus leucas,0.97
Monodon,1
Monodon monoceros,1
Phocoenidae,1
Phocoena,1
Phocoena phocoena,1
Phocoenoides,1
Phocoenoides dalli,1
Physeteridae,1
Kogia,1
Kogia breviceps,1
Ziphiidae,1
Indopacetus,1
Indopacetus pacificus,1
Mesoplodon,1
Mesoplodon bidens,1
Mesoplodon bowdoini,1
